peptide,1,2,3,4,5,6,7,8
PO-CHH-pyro-Q-reduced-cz-ion,60.021,30.514,20.679,15.761,12.81,,,
CPRP-by-ion,60.044,,1115.586,836.95,765.192,,,
PO-CHH-pyro-Q-reduced-cz-ion,61.028,31.018,21.015,16.013,13.012,,,
PO-CHH-pyro-Q-reduced-cz-ion,62.032,31.52,21.349,16.264,13.213,,,
PO-CHH-pyro-Q-reduced-cz-ion,63.035,32.021,21.684,16.515,13.413,,,
CPRP-by-ion,70.065,,1161.28,864.211,768.605,,,
CPRP-by-ion,72.081,,1280,871.46,771.408,,,
CPRP-by-ion,74.06,,1280.33,956.251,771.608,,,
PO-CHH-reduced-by-ion,76.039,38.524,26.018,19.766,16.014,,,
SG-CHH-pyro-Q-reduced-by-ion,84.044,42.526,28.687,21.767,17.615,,,
CPRP-by-ion,84.081,,,960.506,,,,
CPRP-by-ion,86.096,,,960.76,,,,
SG-CHH-pyro-Q-reduced-by-ion,87.055,44.032,29.69,22.52,18.217,15.349,13.3,11.764
CPRP-by-ion,87.092,44.05,29.702,22.529,18.225,15.355,13.306,11.768
CPRP-by-ion,88.039,44.524,30.018,22.766,18.414,15.513,13.441,11.887
CPRP-by-ion,100.087,50.547,34.034,25.778,20.824,17.521,15.162,13.393
SG-CHH-pyro-Q-reduced-by-ion,101.071,51.039,34.362,26.024,21.02,17.685,15.303,13.516
SG-CHH-pyro-Q-reduced-cz-ion,101.084,51.046,34.366,26.027,21.023,17.687,15.304,13.517
CPRP-by-ion,101.107,51.058,34.374,26.033,21.028,17.691,15.308,13.52
CPRP-by-ion,102.055,51.531,34.69,26.27,21.217,17.849,15.443,13.639
SG-CHH-pyro-Q-reduced-cz-ion,102.091,51.55,34.702,26.279,21.225,17.855,15.448,13.643
SG-CHH-pyro-Q-reduced-cz-ion,103.095,52.051,35.037,26.53,21.425,18.022,15.592,13.769
CPRP-by-ion,104.053,52.53,35.356,26.769,21.617,18.182,15.729,13.888
SG-CHH-pyro-Q-reduced-cz-ion,104.098,52.553,35.371,26.78,21.626,18.19,15.735,13.894
CPRP-by-ion,110.071,55.54,37.362,28.274,22.821,19.185,16.588,14.641
CPRP-by-ion,112.087,56.547,38.034,28.778,23.224,19.521,16.876,14.893
SG-CHH-pyro-Q-reduced-by-ion,117.102,59.055,39.706,30.031,24.227,20.357,17.593,15.52
CPRP-by-ion,120.081,60.544,40.699,30.776,24.822,20.853,18.018,15.892
CPRP-by-ion,126.055,63.531,42.69,32.27,26.017,21.849,18.872,16.639
CPRP-by-ion,126.091,63.55,42.702,32.279,26.025,21.855,18.877,16.643
SG-CHH-pyro-Q-reduced-cz-ion,128.058,64.533,43.358,32.77,26.418,22.183,19.158,16.889
SG-CHH-pyro-Q-reduced-by-ion,129.066,65.037,43.694,33.022,26.619,22.351,19.302,17.015
CPRP-by-ion,129.102,65.055,43.706,33.031,26.627,22.357,19.307,17.02
CPRP-by-ion,130.05,65.529,44.022,33.268,26.816,22.515,19.442,17.138
SG-CHH-pyro-Q-reduced-cz-ion,130.069,65.539,44.028,33.273,26.82,22.518,19.445,17.14
SG-CHH-pyro-Q-reduced-cz-ion,131.073,66.04,44.363,33.524,27.021,22.685,19.589,17.266
CPRP-cz-ion,132.042,66.525,44.686,33.766,27.215,22.847,19.727,17.387
CPRP-cz-ion,133.05,67.029,45.022,34.018,27.416,23.015,19.871,17.513
CPRP-cz-ion,134.053,67.53,45.356,34.269,27.617,23.182,20.014,17.638
CPRP-cz-ion,135.056,68.032,45.691,34.52,27.818,23.349,20.158,17.764
SG-CHH-pyro-Q-reduced-by-ion,136.076,68.542,46.03,34.775,28.021,23.519,20.303,17.891
