Target Sequence,File Name,MH,M,7
EmptyTargetSequence,EmptyFileName,2854.08296,2853.07512,408.59
EmptyTargetSequence,EmptyFileName,2974.09096,2973.08312,425.734
EmptyTargetSequence,EmptyFileName,2987.20196,2986.19412,427.607
EmptyTargetSequence,EmptyFileName,3041.64796,3040.64012,435.385
EmptyTargetSequence,EmptyFileName,3192.72896,3191.72112,456.968
EmptyTargetSequence,EmptyFileName,3209.75296,3208.74512,459.4
EmptyTargetSequence,EmptyFileName,3219.69296,3218.68512,460.82
EmptyTargetSequence,EmptyFileName,3242.96096,3241.95312,464.144
EmptyTargetSequence,EmptyFileName,3335.74596,3334.73812,477.399
EmptyTargetSequence,EmptyFileName,3558.66796,3557.66012,509.245
EmptyTargetSequence,EmptyFileName,3565.61196,3564.60412,510.237
EmptyTargetSequence,EmptyFileName,3586.94796,3585.94012,513.285
EmptyTargetSequence,EmptyFileName,3588.94996,3587.94212,513.571
EmptyTargetSequence,EmptyFileName,3612.95996,3611.95212,517.001
EmptyTargetSequence,EmptyFileName,3614.96196,3613.95412,517.287
EmptyTargetSequence,EmptyFileName,3631.60796,3630.60012,519.665
EmptyTargetSequence,EmptyFileName,3670.98296,3669.97512,525.29
EmptyTargetSequence,EmptyFileName,3679.46696,3678.45912,526.502
EmptyTargetSequence,EmptyFileName,3708.95096,3707.94312,530.714
EmptyTargetSequence,EmptyFileName,3720.94896,3719.94112,532.428
EmptyTargetSequence,EmptyFileName,3726.96196,3725.95412,533.287
EmptyTargetSequence,EmptyFileName,3727.11596,3726.10812,533.309
EmptyTargetSequence,EmptyFileName,3727.96296,3726.95512,533.43
EmptyTargetSequence,EmptyFileName,3785.53796,3784.53012,541.655
EmptyTargetSequence,EmptyFileName,3838.00996,3837.00212,549.151
EmptyTargetSequence,EmptyFileName,3840.01196,3839.00412,549.437
EmptyTargetSequence,EmptyFileName,3841.90896,3840.90112,549.708
EmptyTargetSequence,EmptyFileName,3852.03096,3851.02312,551.154
EmptyTargetSequence,EmptyFileName,3852.03796,3851.03012,551.155
EmptyTargetSequence,EmptyFileName,3854.03296,3853.02512,551.44
EmptyTargetSequence,EmptyFileName,3856.00696,3854.99912,551.722
EmptyTargetSequence,EmptyFileName,3870.02096,3869.01312,553.724
EmptyTargetSequence,EmptyFileName,3906.93896,3905.93112,558.998
EmptyTargetSequence,EmptyFileName,3920.95996,3919.95212,561.001
EmptyTargetSequence,EmptyFileName,4063.15796,4062.15012,581.315
EmptyTargetSequence,EmptyFileName,4065.10396,4064.09612,581.593
EmptyTargetSequence,EmptyFileName,4100.72696,4099.71912,586.682
EmptyTargetSequence,EmptyFileName,4136.18196,4135.17412,591.747
EmptyTargetSequence,EmptyFileName,4140.23496,4139.22712,592.326
EmptyTargetSequence,EmptyFileName,4228.09896,4227.09112,604.878
EmptyTargetSequence,EmptyFileName,4252.25596,4251.24812,608.329
EmptyTargetSequence,EmptyFileName,4258.18496,4257.17712,609.176
EmptyTargetSequence,EmptyFileName,4277.14096,4276.13312,611.884
EmptyTargetSequence,EmptyFileName,4329.26296,4328.25512,619.33
EmptyTargetSequence,EmptyFileName,4344.25696,4343.24912,621.472
EmptyTargetSequence,EmptyFileName,4345.25796,4344.25012,621.615
EmptyTargetSequence,EmptyFileName,4359.25096,4358.24312,623.614
EmptyTargetSequence,EmptyFileName,4360.25196,4359.24412,623.757
EmptyTargetSequence,EmptyFileName,4370.61896,4369.61112,625.238
EmptyTargetSequence,EmptyFileName,4375.25296,4374.24512,625.9
EmptyTargetSequence,EmptyFileName,4380.32096,4379.31312,626.624
EmptyTargetSequence,EmptyFileName,4390.22596,4389.21812,628.039
EmptyTargetSequence,EmptyFileName,4415.29996,4414.29212,631.621
EmptyTargetSequence,EmptyFileName,4415.32796,4414.32012,631.625
EmptyTargetSequence,EmptyFileName,4459.93196,4458.92412,637.997
EmptyTargetSequence,EmptyFileName,4493.86096,4492.85312,642.844
EmptyTargetSequence,EmptyFileName,4498.53696,4497.52912,643.512
EmptyTargetSequence,EmptyFileName,4499.30696,4498.29912,643.622
EmptyTargetSequence,EmptyFileName,4523.28896,4522.28112,647.048
EmptyTargetSequence,EmptyFileName,4526.89396,4525.88612,647.563
EmptyTargetSequence,EmptyFileName,4539.28396,4538.27612,649.333
EmptyTargetSequence,EmptyFileName,4541.29296,4540.28512,649.62
EmptyTargetSequence,EmptyFileName,4591.21696,4590.20912,656.752
EmptyTargetSequence,EmptyFileName,4592.70796,4591.70012,656.965
EmptyTargetSequence,EmptyFileName,4595.34696,4594.33912,657.342
EmptyTargetSequence,EmptyFileName,4596.20796,4595.20012,657.465
EmptyTargetSequence,EmptyFileName,4602.36796,4601.36012,658.345
EmptyTargetSequence,EmptyFileName,4626.38496,4625.37712,661.776
EmptyTargetSequence,EmptyFileName,4630.28396,4629.27612,662.333
EmptyTargetSequence,EmptyFileName,4637.36796,4636.36012,663.345
EmptyTargetSequence,EmptyFileName,4648.01496,4647.00712,664.866
EmptyTargetSequence,EmptyFileName,4648.17596,4647.16812,664.889
EmptyTargetSequence,EmptyFileName,4651.38196,4650.37412,665.347
EmptyTargetSequence,EmptyFileName,4651.38896,4650.38112,665.348
EmptyTargetSequence,EmptyFileName,4663.55496,4662.54712,667.086
EmptyTargetSequence,EmptyFileName,4667.37696,4666.36912,667.632
EmptyTargetSequence,EmptyFileName,4667.38396,4666.37612,667.633
EmptyTargetSequence,EmptyFileName,4682.37096,4681.36312,669.774
EmptyTargetSequence,EmptyFileName,4683.37196,4682.36412,669.917
EmptyTargetSequence,EmptyFileName,4683.51896,4682.51112,669.938
EmptyTargetSequence,EmptyFileName,4686.47996,4685.47212,670.361
EmptyTargetSequence,EmptyFileName,4693.38896,4692.38112,671.348
EmptyTargetSequence,EmptyFileName,4708.40396,4707.39612,673.493
EmptyTargetSequence,EmptyFileName,4724.39896,4723.39112,675.778
EmptyTargetSequence,EmptyFileName,4730.34196,4729.33412,676.627
EmptyTargetSequence,EmptyFileName,4731.46196,4730.45412,676.787
EmptyTargetSequence,EmptyFileName,4752.43396,4751.42612,679.783
EmptyTargetSequence,EmptyFileName,4768.07896,4767.07112,682.018
EmptyTargetSequence,EmptyFileName,4781.37896,4780.37112,683.918
EmptyTargetSequence,EmptyFileName,4790.54896,4789.54112,685.228
EmptyTargetSequence,EmptyFileName,4819.66196,4818.65412,689.387
EmptyTargetSequence,EmptyFileName,4848.45996,4847.45212,693.501
EmptyTargetSequence,EmptyFileName,4862.59296,4861.58512,695.52
EmptyTargetSequence,EmptyFileName,4877.90896,4876.90112,697.708
EmptyTargetSequence,EmptyFileName,4906.48296,4905.47512,701.79
EmptyTargetSequence,EmptyFileName,4907.68696,4906.67912,701.962
EmptyTargetSequence,EmptyFileName,4919.61496,4918.60712,703.666
EmptyTargetSequence,EmptyFileName,4922.61796,4921.61012,704.095
EmptyTargetSequence,EmptyFileName,4928.05696,4927.04912,704.872
EmptyTargetSequence,EmptyFileName,4928.57496,4927.56712,704.946
EmptyTargetSequence,EmptyFileName,4931.05996,4930.05212,705.301
EmptyTargetSequence,EmptyFileName,4931.57796,4930.57012,705.375
EmptyTargetSequence,EmptyFileName,4933.64296,4932.63512,705.67
EmptyTargetSequence,EmptyFileName,4936.08596,4935.07812,706.019
EmptyTargetSequence,EmptyFileName,4939.08896,4938.08112,706.448
EmptyTargetSequence,EmptyFileName,4954.01296,4953.00512,708.58
EmptyTargetSequence,EmptyFileName,4962.01396,4961.00612,709.723
EmptyTargetSequence,EmptyFileName,4963.00796,4962.00012,709.865
EmptyTargetSequence,EmptyFileName,4970.58896,4969.58112,710.948
EmptyTargetSequence,EmptyFileName,4970.59596,4969.58812,710.949
EmptyTargetSequence,EmptyFileName,4970.61696,4969.60912,710.952
EmptyTargetSequence,EmptyFileName,4972.59096,4971.58312,711.234
EmptyTargetSequence,EmptyFileName,4973.10196,4972.09412,711.307
EmptyTargetSequence,EmptyFileName,4973.59196,4972.58412,711.377
EmptyTargetSequence,EmptyFileName,4973.59896,4972.59112,711.378
EmptyTargetSequence,EmptyFileName,4973.61996,4972.61212,711.381
EmptyTargetSequence,EmptyFileName,4975.59396,4974.58612,711.663
EmptyTargetSequence,EmptyFileName,4980.61296,4979.60512,712.38
EmptyTargetSequence,EmptyFileName,4983.61596,4982.60812,712.809
EmptyTargetSequence,EmptyFileName,4988.61396,4987.60612,713.523
EmptyTargetSequence,EmptyFileName,4989.57996,4988.57212,713.661
EmptyTargetSequence,EmptyFileName,5010.55896,5009.55112,716.658
EmptyTargetSequence,EmptyFileName,5014.10096,5013.09312,717.164
EmptyTargetSequence,EmptyFileName,5017.10396,5016.09612,717.593
EmptyTargetSequence,EmptyFileName,5019.11296,5018.10512,717.88
EmptyTargetSequence,EmptyFileName,5020.30996,5019.30212,718.051
EmptyTargetSequence,EmptyFileName,5026.07796,5025.07012,718.875
EmptyTargetSequence,EmptyFileName,5042.49996,5041.49212,721.221
EmptyTargetSequence,EmptyFileName,5067.63696,5066.62912,724.812
EmptyTargetSequence,EmptyFileName,5068.62396,5067.61612,724.953
EmptyTargetSequence,EmptyFileName,5068.67996,5067.67212,724.961
EmptyTargetSequence,EmptyFileName,5070.63996,5069.63212,725.241
EmptyTargetSequence,EmptyFileName,5070.64696,5069.63912,725.242
EmptyTargetSequence,EmptyFileName,5071.68996,5070.68212,725.391
EmptyTargetSequence,EmptyFileName,5077.16396,5076.15612,726.173
EmptyTargetSequence,EmptyFileName,5080.17396,5079.16612,726.603
EmptyTargetSequence,EmptyFileName,5082.64496,5081.63712,726.956
EmptyTargetSequence,EmptyFileName,5082.65196,5081.64412,726.957
EmptyTargetSequence,EmptyFileName,5083.63896,5082.63112,727.098
EmptyTargetSequence,EmptyFileName,5084.15696,5083.14912,727.172
EmptyTargetSequence,EmptyFileName,5085.63396,5084.62612,727.383
EmptyTargetSequence,EmptyFileName,5085.64096,5084.63312,727.384
EmptyTargetSequence,EmptyFileName,5085.64796,5084.64012,727.385
EmptyTargetSequence,EmptyFileName,5085.65496,5084.64712,727.386
EmptyTargetSequence,EmptyFileName,5086.64196,5085.63412,727.527
EmptyTargetSequence,EmptyFileName,5115.63596,5114.62812,731.669
EmptyTargetSequence,EmptyFileName,5116.12596,5115.11812,731.739
EmptyTargetSequence,EmptyFileName,5116.81896,5115.81112,731.838
EmptyTargetSequence,EmptyFileName,5120.66196,5119.65412,732.387
EmptyTargetSequence,EmptyFileName,5134.68296,5133.67512,734.39
EmptyTargetSequence,EmptyFileName,5148.70396,5147.69612,736.393
EmptyTargetSequence,EmptyFileName,5174.76496,5173.75712,740.116
EmptyTargetSequence,EmptyFileName,5193.11196,5192.10412,742.737
EmptyTargetSequence,EmptyFileName,5209.75096,5208.74312,745.114
EmptyTargetSequence,EmptyFileName,5209.75796,5208.75012,745.115
EmptyTargetSequence,EmptyFileName,5212.75396,5211.74612,745.543
